,click_0.50,click_0.51,click_0.52,click_0.53,click_0.54,click_0.55,click_0.56,click_0.57,click_0.58,click_0.59,click_0.5,click_0.60,click_0.61,click_0.62,click_0.63,click_0.64,click_0.65,click_0.66,click_0.67,click_0.68,click_0.69,click_0.70,click_0.71,click_0.72,click_0.73,click_0.74,click_0.75,click_0.76,click_0.77,click_0.78,click_0.79,click_0.80,click_0.81,click_0.82,click_0.83,click_0.84,click_0.85,click_0.86,click_0.87,click_0.88,click_0.89,click_0.90,click_0.91,click_0.92,click_0.93,click_0.94,click_0.95,click_0.96,click_0.97,click_0.98,click_0.99,click_1.00,click_1.0
YAL001C,3,3,3,3,3,3,3,3,5,5,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,7,10,7,10,5,5,5,4,4,3,4,4,4,4,3,10,4,4,3,0,4,3,3
YAL002W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,11,5,1,1,12,12,1,2,7,10,2,10,2,13,14,2,4,3,4,11,4,4,3,15,4,4,3,1,4,1,1
YAL003W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,1,1,2,2,3,3,3
YAL004W,3,3,1,3,1,1,1,1,1,1,3,1,1,11,1,12,10,13,9,9,13,0,11,10,13,0,16,0,14,0,18,0,0,0,19,0,10,0,0,0,0,0,9,8,0,14,0,0,0,0,0,10,10
YAL008W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,5,5,5,5,5,17,15,5,5,6,10,7,1,2,1,1
YAL012W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,9,2,10,4,4,3,4,4,9,13,3,14,7,5,1,1,4,1,1
YAL018C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,8,11,12,2,12,2,2,2,4,4,4,13,3,4,7,5,1,1,4,1,1
YAL020C,1,1,1,1,1,1,3,1,1,1,1,5,3,9,10,8,9,11,7,7,7,9,8,8,9,9,8,9,8,9,8,8,4,14,11,8,11,0,6,6,6,7,7,9,6,8,0,0,0,0,9,6,6
YAL022C,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,8,9,8,8,8,10,9,9,11,15,12,12,9,2,13,14,10,4,4,2,15,2,12,11,11,15,14,12,11,12,10,6,5,1,14,1,1
YAL034C,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,10,1,14,1,1,14,1,1,1,1,10,0,10,10,11,0,0,12,8,20,11,18,0,0,0,5,5,5,5,5,5,6,10,7,0,0,9,9
YAL034W-A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,10,12,11,11,7,3,1,1,2,2,3,3,3
YAL035W,4,4,4,2,2,4,4,4,2,2,4,2,8,11,11,2,2,2,2,2,4,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,9,13,10,12,11,9,9,9,4,1,4,4
YAL036C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YAL044C,3,3,1,1,1,1,3,1,1,1,3,1,8,10,9,12,10,13,9,9,13,0,0,0,13,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
YAL051W,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,1,1,5,5,5,5,5,5,5,5,1,9,8,4,5,9,5,4,11,9,5,5,4,4,3,4,4,9,8,3,4,7,4,3,1,4,1,1
YAL054C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,1,2,2,2,2,15,16,2,2,2,4,3,4,4,4,4,3,15,4,5,3,1,4,1,1
YAL058W,1,1,1,1,1,1,3,1,1,1,1,5,3,5,5,1,9,5,7,7,7,9,8,8,9,9,8,9,8,9,8,8,4,14,11,8,11,4,0,6,6,7,7,9,6,8,0,4,0,0,9,6,6
YAL059W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,13,9,7,7,9,8,8,8,7,7,6,6,6,8,7,8,12,11,7,1,2,2
YAL060W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,4,4,3,1,4,1,1
YAL061W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,9,11,11,9,5,5,4,4,3,4,4,9,8,3,4,7,5,1,1,4,1,1
YAL062W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,8,3,4,4,4,3,1,4,1,1
YAL067C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3,3,3,17,7,6,6,6,4,15,12,16,11,7,9,1,1,2,2,3,3,3
YAR015W,3,3,3,1,1,1,3,1,6,3,3,5,3,5,5,1,5,12,6,5,8,7,6,13,8,8,9,8,9,7,9,7,8,12,12,7,12,6,6,6,10,10,11,11,7,9,7,0,0,0,6,3,3
YAR018C,3,3,3,3,3,3,3,3,5,5,3,3,5,6,6,5,6,6,5,6,6,6,7,6,7,7,7,7,7,8,7,11,7,9,13,12,13,6,6,6,10,10,11,11,7,10,4,4,3,2,7,3,3
YAR020C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,7,6,6,6,6,10,12,7,11,7,9,1,4,2,2,3,3,3
YAR028W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,16,13,16,18,14,17,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,2
YAR029W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,14,14,11,3,9,13,7,6,6,6,4,15,12,3,3,7,3,1,1,2,2,3,3,3
